time,open,high,low,close
2021-11-27,53772.5,55332.68,53648.12,54775.66
2021-11-28,54760.62,57476.25,53317.32,57322.77
2021-11-29,57319.83,58908.16,56742.4,57838.79
2021-11-30,57838.34,59239.19,55923,56969.7
2021-12-01,57016.11,59103.77,56481.63,57241.55
2021-12-02,57232.25,57412.61,55851.75,56531.25
2021-12-03,56527,57572.31,52186.3,53676.95
2021-12-04,53660.92,53815.81,41631.28,49242.47
2021-12-05,49237.75,49761.72,47837.57,49467
2021-12-06,49472.65,50992.06,47171.66,50543.48
2021-12-07,50537.38,51980.92,50081.93,50636.64
2021-12-08,50634.99,51240.12,48696.24,50523.27
2021-12-09,50525.85,50827.67,47337.6,47582.37
2021-12-10,47572.78,49872.47,46891.87,47171.93
2021-12-11,47178,49514.17,46783.75,49394.45
2021-12-12,49413.96,50806.25,48679.56,50109.38
2021-12-13,50096.29,50220,45746.52,46725.12
2021-12-14,46732.73,48684.88,46311.06,48385.28
2021-12-15,48380.1,49503.71,46565.25,48884.45
2021-12-16,48883.71,49460.07,47543.48,47643.53
2021-12-17,47643.55,48038.83,45478.01,46176.46
2021-12-18,46156.92,47355.62,45526.28,46868.13
2021-12-19,46848.89,48313.62,46456.99,46696.22
2021-12-20,46682.33,47545.97,45581.22,46914.68
2021-12-21,46919.91,49333.41,46664.02,48924.74
2021-12-22,48917.86,49591.8,48465.16,48618.04
2021-12-23,48618.84,51391.27,48047.23,50838.48
2021-12-24,50844.29,51862.22,50451.24,50837.01
2021-12-25,50847.04,51155.94,50199.01,50440.34
2021-12-26,50425.83,51281.06,49451.85,50799.86
2021-12-27,50818.91,52103.63,50479.02,50702.05
2021-12-28,50707.74,50710.62,47307.33,47546.13
2021-12-29,47557.83,48140.49,46104.74,46475.49
2021-12-30,46470.94,47917.41,45937.05,47135.21
2021-12-31,47125.1,48580.49,45621.85,46198.9
2022-01-01,46202.77,47952.97,46201.22,47748.78
2022-01-02,47738.82,47981.62,46675.03,47317.13
2022-01-03,47300.8,47577.04,45702.55,46449.55
2022-01-04,46459.59,47518.14,45537.8,45831.42
2022-01-05,45832.38,46905.99,42479.65,43429.74
2022-01-06,43437.31,43774.67,42424.33,43102.27
2022-01-07,43099.92,43136.9,40630.01,41545.24
2022-01-08,41557.72,42312.65,40528.45,41691.12
2022-01-09,41691.19,42799.22,41218.37,41868.49
2022-01-10,41866.9,42246.94,39656.48,41842.27
2022-01-11,41840.1,43132.19,41291.06,42742.74
2022-01-12,42743.8,44341.98,42472.96,43928.88
2022-01-13,43928.66,44443.4,42331.18,42568.64
2022-01-14,42571.04,43469.64,41781.01,43091.7
2022-01-15,43089.85,43812.31,42553.69,43101
2022-01-16,43098.73,43489.16,42606.67,43171.39
2022-01-17,43174.04,43248.48,42022.19,42520.05
2022-01-18,42517.74,42857.21,41807.58,42622.29
2022-01-19,42624.98,42780.97,41697.31,42100.67
2022-01-20,42117.44,43476.37,41263.84,41363.23
2022-01-21,41347.9,41685.73,37403.43,38194.95
2022-01-22,38182.12,38465.07,36346.07,37146.04
2022-01-23,37152.38,38244.12,36805.48,38053.15
2022-01-24,38046.45,39003.69,35545.79,38369.21
2022-01-25,38371.72,39017.19,37621.54,38575.68
2022-01-26,38589.9,39732.91,36325.48,38464.14
2022-01-27,36834.78,38676.07,35534.99,37201.76
2022-01-28,37176.88,38016.6,36164.57,37743.16
2022-01-29,37729.26,38733.95,37309.76,38180.96
2022-01-30,38185.36,38370.82,37376.73,37923.56
2022-01-31,37913.28,38769.01,36655.99,38498.99
2022-02-01,38497.02,39288.75,38035.6,38723.35
2022-02-02,38739.08,38882.68,36606.38,36914.92
2022-02-03,36921.39,37390.62,36267.05,37322.6
2022-02-04,37325.51,41775.21,37060.28,41595.79
2022-02-05,41609.07,41969,40946.39,41418.02
2022-02-06,41422.08,42703.12,41128.25,42417.63
2022-02-07,42419.63,44525.24,41690.24,43869.2
2022-02-08,43879.07,45515.27,42694.13,44082.62
2022-02-09,44089.95,44852.98,43172.95,44420.56
2022-02-10,44416.64,45866.71,43219.87,43528.61
2022-02-11,43533.39,43970.62,41991.42,42397.41
2022-02-12,42394.52,43042.09,41756.92,42242.26
2022-02-13,42239.14,42773.05,41889.54,42073.76
2022-02-14,42074.56,42863.26,41576.16,42550.24
2022-02-15,42560.06,44776.31,42457.81,44573.39
2022-02-16,44574.41,44579.93,43331.68,43888.51
2022-02-17,43894.58,44191.7,40091.38,40546.12
2022-02-18,40538.77,40977.97,39436.35,39993.25
2022-02-19,39996.5,40462.57,39655.89,40104.1
2022-02-20,40101.21,40144.23,37994.3,38386.55
2022-02-21,38391.53,39495.19,36814.31,37032.64
2022-02-22,37026.12,38444.67,36363.75,38259.84
2022-02-23,38260.84,39282.1,37072.25,37261.73
2022-02-24,37262.01,39729.11,34329.29,38353.01
2022-02-25,38351.44,39710.99,38027.76,39232.14
2022-02-26,39232.39,40308.98,38599.38,39133.73
2022-02-27,39139.87,39879.78,37017.28,37711.29
2022-02-28,37712.31,44236.02,37461.68,43188.92
2022-03-01,43201.82,44977.21,42854.18,44438.27
2022-03-02,44439.96,45352.71,43353.54,43926.92
2022-03-03,43925.65,44103.67,41825.89,42466.71
2022-03-04,42467.35,42517.4,38585.79,39161.89
2022-03-05,39160.35,39616.73,38601.54,39406.8
2022-03-06,39401.93,39701.48,38100.06,38423
2022-03-07,38412.97,39552.59,37166.86,38008.62
2022-03-08,38000.69,39372.92,37869.55,38752.44
2022-03-09,38753.58,42592.68,38670.59,41964.16
2022-03-10,41952.6,42045.33,38562.48,39438.05
2022-03-11,39433.9,40240.74,38246.24,38735.35
2022-03-12,38734.32,39474.46,38671.66,38809.19
2022-03-13,38803.72,39309.96,37592.78,37790.82
2022-03-14,37785.75,39909.2,37572.55,39673.63
2022-03-15,39679.69,39908.84,38139.39,39351.91
2022-03-16,39323.03,41704.34,38846.01,41134.5
2022-03-17,41133.7,41480.98,40524.95,40951.81
2022-03-18,40950.66,42369.16,40139.42,41782.51
2022-03-19,41779.98,42403.4,41545.11,42228.16
2022-03-20,42229.39,42319.17,40932.14,41277.41
2022-03-21,41291.68,41576.99,40518.67,41027.61
2022-03-22,41017.81,43372.45,40906.23,42382.59
2022-03-23,42380.32,43022.8,41783.5,42910.55
2022-03-24,42906.53,44244.48,42629.48,44008.86
2022-03-25,44009.1,45120.79,43605.88,44325.51
2022-03-26,44331.57,44808.02,44106.65,44542.83
2022-03-27,44545.73,46948.42,44454.54,46856.67
2022-03-28,46852.57,48222.96,46678.63,47140.78
2022-03-29,47146.63,48124.61,46956.76,47454.07
2022-03-30,47450.46,47711.78,46558.45,47069.52
2022-03-31,47081.31,47620.79,45228.06,45526.92
2022-04-01,45520.97,46729.59,44245.62,46308.14
2022-04-02,46305.9,47211.05,45655.74,45821.46
2022-04-03,45821.98,47455.7,45564.64,46415.99
2022-04-04,46420.72,46888.33,45132.91,46602.28
2022-04-05,46604.52,47190.3,45375.78,45498.32
2022-04-06,45506.57,45524.26,43124.32,43181.76
2022-04-07,43173.92,43904.42,42744.05,43461.88
2022-04-08,43458.09,43977.2,42115.73,42281.62
2022-04-09,42267.51,42806,42128.53,42767.81
2022-04-10,42774.7,43435.06,41869.98,42155.88
2022-04-11,42161.99,42417.21,39219.44,39532.17
2022-04-12,39536.79,40690.77,39266.22,40087.3
